"KEY";"VALUE"
1849;4,491
1850;4,49
1851;4,489
1852;4,488
1853;4,486
1854;4,486
1855;4,485
1856;4,484
1857;4,483
1858;4,482
1859;4,481
1860;4,481
1861;4,48
1862;4,48
1863;4,48
1864;4,48
1865;4,48
1866;4,48
1867;4,48
1868;4,48
1869;4,481
1870;4,482
1871;4,483
1872;4,484
1873;4,485
1874;4,486
1875;4,488
1876;4,49
1877;4,492
1878;4,495
1879;4,497
1880;4,5
1881;4,5
1882;4,5
1883;4,5
1884;4,5
1885;4,5
1886;4,5
1887;4,5
1888;4,5
1889;4,5
1890;4,5
1891;4,5
1892;4,5
1893;4,5
1894;4,5
1895;4,5
1896;4,5
1897;4,5
1898;4,5
1899;4,5
1900;4,5
1901;4,491
1902;4,48
1903;4,469
1904;4,456
1905;4,442
1906;4,427
1907;4,411
1908;4,394
1909;4,377
1910;4,359
1911;4,341
1912;4,322
1913;4,302
1914;4,283
1915;4,263
1916;4,243
1917;4,223
1918;4,203
1919;4,183
1920;4,164
1921;4,145
1922;4,126
1923;4,108
1924;4,09
1925;4,073
1926;4,056
1927;4,041
1928;4,026
1929;4,013
1930;4
1931;3,989
1932;3,978
1933;3,969
1934;3,961
1935;3,953
1936;3,946
1937;3,94
1938;3,934
1939;3,929
1940;3,925
1941;3,92
1942;3,916
1943;3,912
1944;3,908
1945;3,904
1946;3,9
1947;3,895
1948;3,891
1949;3,886
1950;3,88
1951;3,874
1952;3,868
1953;3,86
1954;3,852
1955;3,843
1956;3,833
1957;3,822
1958;3,81
1959;3,797
1960;3,782
1961;3,766
1962;3,749
1963;3,731
1964;3,711
1965;3,689
1966;3,666
1967;3,641
1968;3,615
1969;3,587
1970;3,557
1971;3,525
1972;3,491
1973;3,455
1974;3,418
1975;3,378
1976;3,336
1977;3,292
1978;3,245
1979;3,197
1980;3,146
1981;3,094
1982;3,04
1983;2,985
1984;2,929
1985;2,871
1986;2,813
1987;2,753
1988;2,694
1989;2,633
1990;2,573
1991;2,512
1992;2,451
1993;2,391
1994;2,331
1995;2,271
1996;2,212
1997;2,154
1998;2,097
1999;2,041
2000;1,987
2001;1,934
2002;1,883
2003;1,834
2004;1,786
2005;1,741
2006;1,698
2007;1,657
2008;1,618
2009;1,581
2010;1,546
2011;1,513
2012;1,482
2013;1,453
2014;1,425
2015;1,4
2016;1,376
2017;1,355
2018;1,335
2019;1,316
2020;1,3
2021;1,3
